"#"	"ID"	"Created At"	"Updated At"	"Created By"	"Updated By"	"Elaborated"	"Manual Elaboration"	"Os"	"Ho Version"	"Java Version"	"Ho Token"	"Left Defense"	"Central Defense"	"Right Defense"	"Midfield"	"Left Attack"	"Central Attack"	"Right Attack"	"Id Ho Feedback"	"Position Id Gk"	"Gk ID"	"Gk Experience"	"Gk Form"	"Gk Stamina"	"Gk Keeper"	"Gk Playmaking"	"Gk Passing"	"Gk Winger"	"Gk Defending"	"Gk Scoring"	"Gk Set Pieces"	"Gk Loyalty"	"Gk Mother Club"	"Position Id Cd Left"	"Cd Left ID"	"Cd Left Experience"	"Cd Left Form"	"Cd Left Stamina"	"Cd Left Keeper"	"Cd Left Playmaking"	"Cd Left Passing"	"Cd Left Winger"	"Cd Left Defending"	"Cd Left Scoring"	"Cd Left Set Pieces"	"Cd Left Loyalty"	"Cd Left Mother Club"	"Position Id Cd Central"	"Cd Central ID"	"Cd Central Experience"	"Cd Central Form"	"Cd Central Stamina"	"Cd Central Keeper"	"Cd Central Playmaking"	"Cd Central Passing"	"Cd Central Winger"	"Cd Central Defending"	"Cd Central Scoring"	"Cd Central Set Pieces"	"Cd Central Loyalty"	"Cd Central Mother Club"	"Position Id Cd Right"	"Cd Right ID"	"Cd Right Experience"	"Cd Right Form"	"Cd Right Stamina"	"Cd Right Keeper"	"Cd Right Playmaking"	"Cd Right Passing"	"Cd Right Winger"	"Cd Right Defending"	"Cd Right Scoring"	"Cd Right Set Pieces"	"Cd Right Loyalty"	"Cd Right Mother Club"	"Position Id Wb Left"	"Wb Left ID"	"Wb Left Experience"	"Wb Left Form"	"Wb Left Stamina"	"Wb Left Keeper"	"Wb Left Playmaking"	"Wb Left Passing"	"Wb Left Winger"	"Wb Left Defending"	"Wb Left Scoring"	"Wb Left Set Pieces"	"Wb Left Loyalty"	"Wb Left Mother Club"	"Position Id Wb Right"	"Wb Right ID"	"Wb Right Experience"	"Wb Right Form"	"Wb Right Stamina"	"Wb Right Keeper"	"Wb Right Playmaking"	"Wb Right Passing"	"Wb Right Winger"	"Wb Right Defending"	"Wb Right Scoring"	"Wb Right Set Pieces"	"Wb Right Loyalty"	"Wb Right Mother Club"	"Position Id Im Left"	"Im Left ID"	"Im Left Experience"	"Im Left Form"	"Im Left Stamina"	"Im Left Keeper"	"Im Left Playmaking"	"Im Left Passing"	"Im Left Winger"	"Im Left Defending"	"Im Left Scoring"	"Im Left Set Pieces"	"Im Left Loyalty"	"Im Left Mother Club"	"Position Id Im Central"	"Im Central ID"	"Im Central Experience"	"Im Central Form"	"Im Central Stamina"	"Im Central Keeper"	"Im Central Playmaking"	"Im Central Passing"	"Im Central Winger"	"Im Central Defending"	"Im Central Scoring"	"Im Central Set Pieces"	"Im Central Loyalty"	"Im Central Mother Club"	"Position Id Im Right"	"Im Right ID"	"Im Right Experience"	"Im Right Form"	"Im Right Stamina"	"Im Right Keeper"	"Im Right Playmaking"	"Im Right Passing"	"Im Right Winger"	"Im Right Defending"	"Im Right Scoring"	"Im Right Set Pieces"	"Im Right Loyalty"	"Im Right Mother Club"	"Position Id W Left"	"W Left ID"	"W Left Experience"	"W Left Form"	"W Left Stamina"	"W Left Keeper"	"W Left Playmaking"	"W Left Passing"	"W Left Winger"	"W Left Defending"	"W Left Scoring"	"W Left Set Pieces"	"W Left Loyalty"	"W Left Mother Club"	"Position Id W Right"	"W Right ID"	"W Right Experience"	"W Right Form"	"W Right Stamina"	"W Right Keeper"	"W Right Playmaking"	"W Right Passing"	"W Right Winger"	"W Right Defending"	"W Right Scoring"	"W Right Set Pieces"	"W Right Loyalty"	"W Right Mother Club"	"Position Id Fw Left"	"Fw Left ID"	"Fw Left Experience"	"Fw Left Form"	"Fw Left Stamina"	"Fw Left Keeper"	"Fw Left Playmaking"	"Fw Left Passing"	"Fw Left Winger"	"Fw Left Defending"	"Fw Left Scoring"	"Fw Left Set Pieces"	"Fw Left Loyalty"	"Fw Left Mother Club"	"Position Id Fw Central"	"Fw Central ID"	"Fw Central Experience"	"Fw Central Form"	"Fw Central Stamina"	"Fw Central Keeper"	"Fw Central Playmaking"	"Fw Central Passing"	"Fw Central Winger"	"Fw Central Defending"	"Fw Central Scoring"	"Fw Central Set Pieces"	"Fw Central Loyalty"	"Fw Central Mother Club"	"Position Id Fw Right"	"Fw Right ID"	"Fw Right Experience"	"Fw Right Form"	"Fw Right Stamina"	"Fw Right Keeper"	"Fw Right Playmaking"	"Fw Right Passing"	"Fw Right Winger"	"Fw Right Defending"	"Fw Right Scoring"	"Fw Right Set Pieces"	"Fw Right Loyalty"	"Fw Right Mother Club"	""
"<td>1</td>"	"6"	"Apr 23, 2019 2:02:55 AM"	"Apr 26, 2019 1:46:12 AM"	"hattrick_organizer"	"mistermax80"	"Yes"	"No"	"Linux on amd64 (4.18.0-17-generic)"	"0.000 DEV (r0)"	"1.8.0_192 (Oracle Corporation)"	"ho_token-VKJRPDWSU0"	"1.11"	"2.22"	"3.33"	"4.44"	"5.55"	"6.66"	"7.77"	"6"	"1012"	"1012"	"4"	"4"	"7"	"6"	"1.9310000538826"	"3.0280000008643"	"1"	"5"	"1"	"3"	"20"	"1"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1011"	"1011"	"6"	"5"	"7"	"1"	"6.0720000043511"	"4"	"2"	"10"	"4"	"2"	"6"	"0"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1006"	"1006"	"7"	"5"	"7"	"1"	"9.4469999969006"	"8"	"2"	"7"	"3"	"6"	"12"	"0"	"1008"	"1008"	"4"	"7"	"8"	"1"	"8"	"6.21099999547"	"3"	"6"	"2"	"5"	"20"	"1"	"1004"	"1004"	"9"	"6"	"6"	"1"	"9.3680000007153"	"10"	"9"	"6"	"2"	"1"	"12"	"0"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1001"	"1001"	"2"	"5"	"7"	"1"	"3.3440000116825"	"7.2380000054836"	"5"	"2"	"7"	"6"	"10"	"No"	""
"<td>2</td>"	"7"	"Apr 23, 2019 2:16:29 AM"	"Apr 26, 2019 1:46:12 AM"	"hattrick_organizer"	"mistermax80"	"Yes"	"No"	"Linux on amd64 (4.18.0-17-generic)"	"0.000 DEV (r0)"	"1.8.0_192 (Oracle Corporation)"	"ho_token-8QP1TMIEHX"	"1.11"	"2.22"	"3.33"	"4.44"	"5.55"	"6.66"	"7.77"	"7"	"1020"	"1020"	"4"	"4"	"7"	"6"	"1.9310000538826"	"3.0280000008643"	"1"	"5"	"1"	"3"	"20"	"1"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1019"	"1019"	"6"	"5"	"7"	"1"	"6.0720000043511"	"4"	"2"	"10"	"4"	"2"	"6"	"0"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1016"	"1016"	"7"	"5"	"7"	"1"	"9.4469999969006"	"8"	"2"	"7"	"3"	"6"	"12"	"0"	"1017"	"1017"	"4"	"7"	"8"	"1"	"8"	"6.21099999547"	"3"	"6"	"2"	"5"	"20"	"1"	"1015"	"1015"	"9"	"6"	"6"	"1"	"9.3680000007153"	"10"	"9"	"6"	"2"	"1"	"12"	"0"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"(not set)"	""
"<td>3</td>"	"9"	"Apr 25, 2019 12:28:55 AM"	"Apr 26, 2019 1:46:12 AM"	"hattrick_organizer"	"mistermax80"	"Yes"	"No"	"Linux on amd64 (4.18.0-17-generic)"	"0.000 DEV (r0)"	"1.8.0_192 (Oracle Corporation)"	"ho_token-7X2DQZJLRT"	"1.11"	"2.22"	"3.33"	"4.44"	"5.55"	"6.66"	"7.77"	"9"	"1033"	"1033"	"4"	"4"	"7"	"6"	"1.9310000538826"	"3.0280000008643"	"1"	"5"	"1"	"3"	"20"	"1"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1032"	"1032"	"6"	"5"	"7"	"1"	"6.0720000043511"	"4"	"2"	"10"	"4"	"2"	"6"	"0"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1027"	"1027"	"7"	"5"	"7"	"1"	"9.4469999969006"	"8"	"2"	"7"	"3"	"6"	"12"	"0"	"1029"	"1029"	"4"	"7"	"8"	"1"	"8"	"6.21099999547"	"3"	"6"	"2"	"5"	"20"	"1"	"1025"	"1025"	"9"	"6"	"6"	"1"	"9.3680000007153"	"10"	"9"	"6"	"2"	"1"	"12"	"0"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"<span class=""not-set"">(not set)</span>"	"1022"	"1022"	"2"	"5"	"7"	"1"	"3.3440000116825"	"7.2380000054836"	"5"	"2"	"7"	"6"	"10"	"No"	""
